entry_ai,entry_ts,entry,exit_ts,exit,regime,regime_market,type,strat,score,adx,rsi,atr_pct,xgb,pnl_net,hold_bars,reason,bt83_a_plus,bt83_size_mult
8362,2025-03-25 21:00:00,129520000.0,2025-03-28 13:00:00,126031000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,36.9,65.9,17.0,0.635,-0.029937924644842493,16,ATR손절,False,1.0
8480,2025-04-14 13:00:00,122716000.0,2025-05-05 09:00:00,134458000.0,Range,Range,pyramid,P2,5.07,16.4,56.0,44.0,0.584,0.07842361467311053,125,계단손절,False,1.0
8608,2025-05-05 21:00:00,133610000.0,2025-05-24 05:00:00,149878000.0,Range,Range,pyramid,P2,5.27,24.2,31.7,35.0,0.75,0.10591249627487503,110,계단손절,False,1.0
8731,2025-05-26 09:00:00,152110000.0,2025-05-30 01:00:00,147794000.0,Range,Range,pyramid,P2,5.27,21.2,54.8,68.0,0.642,-0.031374202879495106,22,ATR손절,False,1.0
8755,2025-05-30 09:00:00,148665000.0,2025-06-05 13:00:00,144492000.0,Range,Range,leading_signal,P0,4.07,24.3,41.1,61.0,0.809,-0.03106982141055393,37,ATR손절,False,1.0
8822,2025-06-10 13:00:00,150060000.0,2025-06-13 05:00:00,145801000.0,Range,Range,pyramid,P2,5.77,20.2,67.1,22.0,0.79,-0.031381980541116884,16,ATR손절,False,1.0
8924,2025-06-27 13:00:00,146742000.0,2025-07-25 09:00:00,158436000.0,Range,Range,pyramid,P2,5.27,19.3,54.7,50.0,0.707,0.06608893154771599,167,계단손절,False,1.0
9093,2025-07-25 17:00:00,159451000.0,2025-08-18 09:00:00,160580000.0,Range,Range,pyramid,P2,5.77,18.3,42.0,72.0,0.814,-0.00539555831206498,142,계단손절,False,1.0
9380,2025-09-11 13:00:00,158816000.0,2025-10-11 13:00:00,168854000.0,Range,Range,pyramid,P2,5.07,19.7,66.4,12.0,0.777,0.05015708206021114,180,계단손절,False,1.0
9658,2025-10-27 21:00:00,169809000.0,2025-10-30 05:00:00,164617000.0,Trend_Up,Trend_Up,pyramid,P2,5.77,27.7,67.7,9.0,0.793,-0.03357552897667379,14,ATR손절,False,1.0
9673,2025-10-30 09:00:00,165205000.0,2025-11-03 13:00:00,160770000.0,Range,Range,pyramid,P2,5.27,24.0,35.4,28.0,0.666,-0.029845434460216095,25,ATR손절,False,1.0
9879,2025-12-03 17:00:00,138498000.0,2025-12-15 01:00:00,132700000.0,Range,Range,pyramid,P2,5.07,25.7,64.3,54.0,0.72,-0.04486342041040304,68,ATR손절,False,1.0
10064,2026-01-03 13:00:00,129488000.0,2026-01-19 09:00:00,137750000.0,Range,Range,pyramid,P2,5.07,21.6,54.0,37.0,0.628,0.04853355529050223,95,계단손절,False,1.0
10416,2026-03-03 05:00:00,100520000.0,2026-03-06 21:00:00,101218000.0,Volatile,Volatile,trend,P0,4.07,18.0,63.3,98.0,0.755,0.003943891762833267,22,트레일링,False,1.0
10454,2026-03-09 13:00:00,99820000.0,2026-03-19 13:00:00,104489000.0,Range,Range,pyramid,P2,5.07,24.1,46.5,37.0,0.845,0.029127024209471022,60,계단손절,False,1.0
10552,2026-03-25 21:00:00,105762000.0,2026-03-27 17:00:00,101280000.0,Range,Range,pyramid,P2,5.07,17.1,54.1,39.0,0.868,-0.04537816985306632,11,ATR손절,False,1.0
10600,2026-04-02 21:00:00,101576000.0,2026-04-18 21:00:00,112817000.0,Range,Range,leading_signal,P0,3.07,15.4,45.1,37.0,0.684,0.10766590533196818,96,기간종료,False,1.0
